Y;D;TMAX
2006;2006-04-01;21
2006;2006-04-02;19,3
2006;2006-04-03;18,5
2006;2006-04-04;17
2006;2006-04-05;20,5
2006;2006-04-06;17
2006;2006-04-07;18,4
2006;2006-04-08;20,2
2006;2006-04-09;18,1
2006;2006-04-10;16,5
2006;2006-04-11;18,6
2006;2006-04-12;20,3
2006;2006-04-13;20,6
2006;2006-04-14;18
2006;2006-04-15;13,4
2006;2006-04-16;8,7
2006;2006-04-17;20,1
2006;2006-04-18;19,3
2006;2006-04-19;20,5
2006;2006-04-20;19,5
2006;2006-04-21;14,8
2006;2006-04-22;18,6
2006;2006-04-23;21,2
2006;2006-04-24;19,7
2006;2006-04-25;16,2
2006;2006-04-26;19,9
2006;2006-04-27;19,3
2006;2006-04-28;18,9
2006;2006-04-29;22,3
2006;2006-04-30;17,3
2006;2006-05-01;18,6
2006;2006-05-02;16,7
2006;2006-05-03;17
2006;2006-05-04;18,2
2006;2006-05-05;20,8
2006;2006-05-06;15,5
2006;2006-05-07;20,7
2006;2006-05-08;18,3
2006;2006-05-09;19,6
2006;2006-05-10;22,5
2006;2006-05-11;22,4
2006;2006-05-12;20,4
2006;2006-05-13;19,2
2006;2006-05-14;22,5
2006;2006-05-15;23,3
2006;2006-05-16;22,4
2006;2006-05-17;23,5
2006;2006-05-18;23,7
2006;2006-05-19;17,3
2006;2006-05-20;19,1
2006;2006-05-21;23,7
2006;2006-05-22;23,2
2006;2006-05-23;22,7
2006;2006-05-24;24,8
2006;2006-05-25;22,5
2006;2006-05-26;24,1
2006;2006-05-27;22,3
2006;2006-05-28;23,6
2006;2006-05-29;23,6
2006;2006-05-30;23,5
2006;2006-05-31;23,1
2006;2006-06-01;21,5
2006;2006-06-02;24,3
2006;2006-06-03;25,8
2006;2006-06-04;25,6
2006;2006-06-05;26,6
2006;2006-06-06;26,7
2006;2006-06-07;25,9
2006;2006-06-08;26,1
2006;2006-06-09;25,6
2006;2006-06-10;23,7
2006;2006-06-11;23,6
2006;2006-06-12;24,7
2006;2006-06-13;23,5
2006;2006-06-14;23,5
2006;2006-06-15;23,4
2006;2006-06-16;23,7
2006;2006-06-17;24,7
2006;2006-06-18;24,1
2006;2006-06-19;24,7
2006;2006-06-20;24,8
2006;2006-06-21;25,1
2006;2006-06-22;25,1
2006;2006-06-23;25,5
2006;2006-06-24;24,8
2006;2006-06-25;24,7
2006;2006-06-26;24,7
2006;2006-06-27;25,2
2006;2006-06-28;25,1
2006;2006-06-29;24,8
2006;2006-06-30;25,8
2006;2006-07-01;25,6
2006;2006-07-02;25
2006;2006-07-03;24,6
2006;2006-07-04;25,1
2006;2006-07-05;24,9
2006;2006-07-06;24,9
2006;2006-07-07;26,1
2006;2006-07-08;26,2
2006;2006-07-09;25
2006;2006-07-10;25,2
2006;2006-07-11;25
2006;2006-07-12;24,1
2006;2006-07-13;25,4
2006;2006-07-14;25
2006;2006-07-15;25,7
2006;2006-07-16;25,5
2006;2006-07-17;25,6
2006;2006-07-18;25,8
2006;2006-07-19;24,6
2006;2006-07-20;25,8
2006;2006-07-21;25,8
2006;2006-07-22;26,6
2006;2006-07-23;26,3
2006;2006-07-24;25,7
2006;2006-07-25;24,8
2006;2006-07-26;23,3
2006;2006-07-27;25,4
2006;2006-07-28;24,8
2006;2006-07-29;25,6
2006;2006-07-30;24,6
2006;2006-07-31;23,4
2007;2007-03-01;25,9
2007;2007-03-02;25,2
2007;2007-03-03;26,2
2007;2007-03-04;26,1
2007;2007-03-05;28,1
2007;2007-03-06;29,9
2007;2007-03-07;29,3
2007;2007-03-08;27
2007;2007-03-09;26,5
2007;2007-03-10;28,6
2007;2007-03-11;28,3
2007;2007-03-12;27,9
2007;2007-03-13;28,8
2007;2007-03-14;32,2
2007;2007-03-15;28,8
2007;2007-03-16;28,3
2007;2007-03-17;29,3
2007;2007-03-18;29,3
2007;2007-03-19;30,3
2007;2007-03-20;28,6
2007;2007-03-21;28,6
2007;2007-03-22;25,5
2007;2007-03-23;26,5
2007;2007-03-24;28,6
2007;2007-03-25;27
2007;2007-03-26;28,6
2007;2007-03-27;28,2
2007;2007-03-28;28,1
2007;2007-03-29;28,9
2007;2007-03-30;28,1
2007;2007-03-31;27,5
2007;2007-04-01;27,4
2007;2007-04-02;30,1
2007;2007-04-03;32,9
2007;2007-04-04;31,2
2007;2007-04-05;29,9
2007;2007-04-06;30,2
2007;2007-04-07;26,2
2007;2007-04-08;26,1
2007;2007-04-09;25,9
2007;2007-04-10;26
2007;2007-04-11;28,1
2007;2007-04-12;27,3
2007;2007-04-13;25,8
2007;2007-04-14;28,5
2007;2007-04-15;28,3
2007;2007-04-16;27,5
2007;2007-04-17;30
2007;2007-04-18;28,2
2007;2007-04-19;30,1
2007;2007-04-20;32
2007;2007-04-21;30,4
2007;2007-04-22;31,3
2007;2007-04-23;36,1
2007;2007-04-24;31,9
2007;2007-04-25;31,5
2007;2007-04-26;28,7
2007;2007-04-27;28,4
2007;2007-04-28;29,9
2007;2007-04-29;28,2
2007;2007-04-30;31,9
2007;2007-05-01;29,5
2007;2007-05-02;27,7
2007;2007-05-03;27,7
2007;2007-05-04;26
2007;2007-05-05;26,4
2007;2007-05-06;26,8
2007;2007-05-07;28,4
2007;2007-05-08;29,7
2007;2007-05-09;29,6
2007;2007-05-10;31,5
2007;2007-05-11;29,9
2007;2007-05-12;30,7
2007;2007-05-13;30,9
2007;2007-05-14;29,1
2007;2007-05-15;29,3
2007;2007-05-16;32,5
2007;2007-05-17;29,6
2007;2007-05-18;29,8
2007;2007-05-19;30,4
2007;2007-05-20;28,7
2007;2007-05-21;27,7
2007;2007-05-22;28,5
2007;2007-05-23;29,8
2007;2007-05-24;32
2007;2007-05-25;31,6
2007;2007-05-26;32,3
2007;2007-05-27;30,3
2007;2007-05-28;32
2007;2007-05-29;31,2
2007;2007-05-30;32,3
2007;2007-05-31;34
2007;2007-06-01;31,5
2007;2007-06-02;30,5
2007;2007-06-03;29,9
2007;2007-06-04;30
2007;2007-06-05;30,3
2007;2007-06-06;30,3
2007;2007-06-07;29,4
2007;2007-06-08;30,3
2007;2007-06-09;31,5
2007;2007-06-10;32,4
2007;2007-06-11;34,6
2007;2007-06-12;33,5
2007;2007-06-13;32,6
2007;2007-06-14;32,7
2007;2007-06-15;33,1
2007;2007-06-16;32,1
2007;2007-06-17;31,9
2007;2007-06-18;31,5
2007;2007-06-19;31,7
2007;2007-06-20;32,3
2007;2007-06-21;32
2007;2007-06-22;32
2007;2007-06-23;31,7
2007;2007-06-24;32,5
2007;2007-06-25;32,9
2007;2007-06-26;33,5
2007;2007-06-27;33,9
2007;2007-06-28;32,8
2007;2007-06-29;32,6
2007;2007-06-30;32,1
2007;2007-07-01;32,5
2007;2007-07-02;33,7
2007;2007-07-03;33,3
2007;2007-07-04;33,8
2007;2007-07-05;33,3
2007;2007-07-06;33,3
2007;2007-07-07;33,5
2007;2007-07-08;33,9
2007;2007-07-09;35,4
2007;2007-07-10;35,3
2007;2007-07-11;35
2007;2007-07-12;34,4
2007;2007-07-13;33,4
2007;2007-07-14;34,7
2007;2007-07-15;35,2
2007;2007-07-16;34,9
2007;2007-07-17;33,9
2007;2007-07-18;30,2
2007;2007-07-19;28,5
2007;2007-07-20;30,3
2007;2007-07-21;33,3
2007;2007-07-22;32,6
2007;2007-07-23;32,4
2007;2007-07-24;33,3
2007;2007-07-25;34,7
2007;2007-07-26;32,9
2007;2007-07-27;33,4
2007;2007-07-28;32,8
2007;2007-07-29;33,4
2007;2007-07-30;31,9
2007;2007-07-31;32,2
2008;2008-03-01;24,7
2008;2008-03-02;24,6
2008;2008-03-03;23,7
2008;2008-03-04;24,4
2008;2008-03-05;25,2
2008;2008-03-06;23,4
2008;2008-03-07;23,6
2008;2008-03-08;23,5
2008;2008-03-09;22,9
2008;2008-03-10;25,4
