Year;Date;MP;IMP;DaNM;msequ
2006;2006-02-27;12:10:00;0,001;NA;NM
2006;2006-02-28;13:02:00;0,01;0,8;WxC
2006;2006-03-01;13:53:00;0,051;1,8;WxC
2006;2006-03-02;14:44:00;0,119;2,8;WxC
2006;2006-03-03;15:34:00;0,207;3,8;WxC
2006;2006-03-04;16:27:00;0,308;4,8;WxC
2006;2006-03-05;17:21:00;0,415;5,8;WxC
2006;2006-03-06;18:16:00;0,523;6,8;FQ
2006;2006-03-07;19:11:00;0,626;7,8;WxG
2006;2006-03-08;20:04:00;0,721;8,8;WxG
2006;2006-03-09;20:55:00;0,805;9,8;WxG
2006;2006-03-10;21:43:00;0,877;10,8;WxG
2006;2006-03-11;22:27:00;0,933;11,8;WxG
2006;2006-03-12;23:09:00;0,973;12,8;WxG
2006;2006-03-13;23:49:00;0,995;13,8;WxG
2006;2006-03-14;NA;NA;14,8;FM
2006;2006-03-15;00:28:00;0,999;15,8;WnG
2006;2006-03-16;01:07:00;0,983;16,8;WnG
2006;2006-03-17;01:48:00;0,949;17,8;WnG
2006;2006-03-18;02:31:00;0,895;18,8;WnG
2006;2006-03-19;03:16:00;0,825;19,8;WnG
2006;2006-03-20;04:06:00;0,738;20,8;WnG
2006;2006-03-21;05:01:00;0,639;21,8;WnG
2006;2006-03-22;05:59:00;0,529;22,8;TQ
2006;2006-03-23;06:59:00;0,415;23,8;WnC
2006;2006-03-24;08:00:00;0,302;24,8;WnC
2006;2006-03-25;08:58:00;0,197;25,8;WnC
2006;2006-03-26;09:53:00;0,108;26,8;WnC
2006;2006-03-27;10:46:00;0,043;27,8;WnC
2006;2006-03-28;11:38:00;0,006;28,8;WnC
2006;2006-03-29;12:28:00;0,002;0,4;NM
2006;2006-03-30;13:20:00;0,029;1,4;WxC
2006;2006-03-31;14:13:00;0,084;2,4;WxC
2006;2006-04-01;15:08:00;0,161;3,4;WxC
2006;2006-04-02;17:04:00;0,252;4,4;WxC
2006;2006-04-03;18:01:00;0,352;5,4;WxC
2006;2006-04-04;18:57:00;0,456;6,4;WxC
2006;2006-04-05;19:50:00;0,558;7,4;FQ
2006;2006-04-06;20:39:00;0,655;8,4;WxG
2006;2006-04-07;21:25:00;0,745;9,4;WxG
2006;2006-04-08;22:07:00;0,824;10,4;WxG
2006;2006-04-09;22:48:00;0,892;11,4;WxG
2006;2006-04-10;23:27:00;0,944;12,4;WxG
2006;2006-04-11;NA;NA;13,4;WxG
2006;2006-04-12;00:06:00;0,981;14,4;WxG
2006;2006-04-13;00:46:00;0,998;15,4;FM
2006;2006-04-14;01:29:00;0,996;16,4;WnG
2006;2006-04-15;02:14:00;0,973;17,4;WnG
2006;2006-04-16;03:03:00;0,928;18,4;WnG
2006;2006-04-17;03:56:00;0,863;19,4;WnG
2006;2006-04-18;04:54:00;0,779;20,4;WnG
2006;2006-04-19;05:53:00;0,68;21,4;WnG
2006;2006-04-20;06:52:00;0,569;22,4;TQ
2006;2006-04-21;07:49:00;0,452;23,4;WnC
2006;2006-04-22;08:44:00;0,336;24,4;WnC
2006;2006-04-23;09:36:00;0,227;25,4;WnC
2006;2006-04-24;10:26:00;0,133;26,4;WnC
2006;2006-04-25;11:15:00;0,061;27,4;WnC
2006;2006-04-26;12:05:00;0,016;28,4;WnC
2006;2006-04-27;12:57:00;0,001;29,4;NM
2006;2006-04-28;13:52:00;0,015;0,9;WxC
2006;2006-04-29;14:49:00;0,056;1,9;WxC
2006;2006-04-30;15:47:00;0,119;2,9;WxC
2006;2006-05-01;16:45:00;0,199;3,9;WxC
2006;2006-05-02;17:40:00;0,289;4,9;WxC
2006;2006-05-03;18:32:00;0,387;5,9;WxC
2006;2006-05-04;19:19:00;0,486;6,9;FQ
2006;2006-05-05;20:03:00;0,584;7,9;WxG
2006;2006-05-06;20:45:00;0,678;8,9;WxG
2006;2006-05-07;21:24:00;0,765;9,9;WxG
2006;2006-05-08;22:03:00;0,842;10,9;WxG
2006;2006-05-09;22:43:00;0,907;11,9;WxG
2006;2006-05-10;23:25:00;0,957;12,9;WxG
2006;2006-05-11;NA;NA;13,9;WxG
2006;2006-05-12;00:09:00;0,988;14,9;WxG
2006;2006-05-13;00:57:00;0,999;15,9;FM
2006;2006-05-14;01:50:00;0,987;16,9;WnG
2006;2006-05-15;02:47:00;0,95;17,9;WnG
2006;2006-05-16;03:47:00;0,89;18,9;WnG
2006;2006-05-17;04:47:00;0,809;19,9;WnG
2006;2006-05-18;05:45:00;0,71;20,9;WnG
2006;2006-05-19;06:40:00;0,599;21,9;WnG
2006;2006-05-20;07:32:00;0,481;22,9;TQ
2006;2006-05-21;08:21:00;0,364;23,9;WnC
2006;2006-05-22;09:09:00;0,254;24,9;WnC
2006;2006-05-23;09:57:00;0,157;25,9;WnC
2006;2006-05-24;10:47:00;0,081;26,9;WnC
2006;2006-05-25;11:39:00;0,029;27,9;WnC
2006;2006-05-26;12:34:00;0,004;28,9;NM
2006;2006-05-27;13:32:00;0,006;0,5;WxC
2006;2006-05-28;14:30:00;0,033;1,5;WxC
2006;2006-05-29;15:27:00;0,083;2,5;WxC
2006;2006-05-30;16:22:00;0,149;3,5;WxC
2006;2006-05-31;17:12:00;0,229;4,5;WxC
2006;2006-06-01;17:58:00;0,319;5,5;WxC
2006;2006-06-02;18:40:00;0,413;6,5;WxC
2006;2006-06-03;19:20:00;0,51;7,5;FQ
2006;2006-06-04;19:59:00;0,607;8,5;WxG
2006;2006-06-05;20:39:00;0,7;9,5;WxG
2006;2006-06-06;21:19:00;0,786;10,5;WxG
2006;2006-06-07;22:02:00;0,863;11,5;WxG
2006;2006-06-08;22:49:00;0,926;12,5;WxG
2006;2006-06-09;23:40:00;0,972;13,5;WxG
2006;2006-06-10;NA;NA;14,5;WxG
2006;2006-06-11;00:36:00;0,996;15,5;FM
2006;2006-06-12;01:36:00;0,994;16,5;WnG
2006;2006-06-13;02:38:00;0,966;17,5;WnG
2006;2006-06-14;03:38:00;0,911;18,5;WnG
2006;2006-06-15;04:35:00;0,833;19,5;WnG
