Year;Site;Nest;ID;FD;LD;ED;F
2006;A;1;2006A1;2006-05-02;2006-04-27;2006-05-12;ABAN
2006;A;2;2006A2;2006-05-05;2006-04-27;2006-06-01;UNHATCH
2006;A;3;2006A3;2006-05-05;2006-05-06;2006-05-19;PRED
2006;A;4;2006A4;2006-05-07;2006-05-04;2006-06-07;UNHATCH
2006;A;5;2006A5;2006-05-08;2006-05-04;2006-05-29;HATCH
2006;A;6;2006A6;2006-05-08;2006-05-05;2006-05-09;PRED
2006;A;7;2006A7;2006-05-08;2006-05-06;2006-05-31;HATCH
2006;A;8;2006A8;2006-05-16;2006-05-05;2006-05-21;PRED
2006;A;101;2006A101;2006-05-12;2006-05-12;2006-06-06;HATCH
2006;A;102;2006A102;2006-05-12;2006-05-07;2006-05-19;PRED
2006;A;103;2006A103;2006-05-13;2006-05-11;2006-06-05;HATCH
2006;A;104;2006A104;2006-05-13;2006-05-16;2006-06-10;HATCH
2006;A;105;2006A105;2006-05-13;2006-05-03;2006-05-23;PRED
2006;A;106;2006A106;2006-05-13;2006-05-10;2006-05-23;PRED
2006;B;1;2006B1;2006-05-02;2006-05-01;2006-05-26;HATCH
2006;B;2;2006B2;2006-05-02;2006-05-04;2006-05-29;HATCH
2006;B;3;2006B3;2006-05-03;2006-04-25;2006-05-13;ABAN
2006;B;4;2006B4;2006-05-07;2006-05-08;2006-06-02;HATCH
2006;B;5;2006B5;2006-05-08;2006-05-11;2006-06-05;HATCH
2006;B;6;2006B6;2006-05-14;2006-05-11;2006-06-05;HATCH
2006;B;7;2006B7;2006-05-17;2006-05-14;2006-06-08;HATCH
2006;B;8;2006B8;2006-05-27;2006-05-17;2006-06-11;HATCH
2006;B;9;2006B9;2006-06-01;2006-05-21;2006-06-07;ABAN
2006;B;101;2006B101;2006-05-04;2006-05-01;2006-05-09;PRED
2006;B;102;2006B102;2006-05-12;2006-05-07;2006-05-19;PRED
2006;B;207;2006B207;2006-06-06;2006-05-24;2006-06-18;HATCH
2006;B;208;2006B208;2006-06-07;2006-05-13;2006-06-07;HATCH
2006;B;209;2006B209;2006-06-07;2006-05-13;2006-06-07;HATCH
2006;C;1;2006C1;2006-05-03;2006-04-24;2006-05-19;HATCH
2006;C;2;2006C2;2006-05-07;2006-05-06;2006-05-10;PRED
2006;C;3;2006C3;2006-05-07;2006-04-29;2006-05-20;PRED
2006;C;4;2006C4;2006-05-08;2006-05-03;2006-05-08;ABAN
2006;C;5;2006C5;2006-05-12;2006-05-09;2006-06-03;HATCH
2006;C;6;2006C6;2006-05-12;2006-05-07;2006-06-10;UNHATCH
2006;C;7;2006C7;2006-05-12;2006-05-08;2006-06-02;HATCH
2006;C;8;2006C8;2006-05-13;2006-05-07;2006-06-08;HATCH
2006;C;9;2006C9;2006-05-13;2006-05-10;2006-06-13;UNHATCH
2006;C;10;2006C10;2006-05-13;2006-05-18;2006-06-12;HATCH
2006;C;11;2006C11;2006-05-14;2006-05-13;2006-05-27;PRED
