Date;Inoon
2006-02-27;NA
2006-02-28;0,010
2006-03-01;0,048
2006-03-02;0,112
2006-03-03;0,194
2006-03-04;0,290
2006-03-05;0,392
2006-03-06;0,496
2006-03-07;0,596
2006-03-08;0,690
2006-03-09;0,775
2006-03-10;0,849
2006-03-11;0,909
2006-03-12;0,955
2006-03-13;0,985
2006-03-14;0,988
2006-03-15;0,992
2006-03-16;0,968
2006-03-17;0,927
2006-03-18;0,868
2006-03-19;0,794
2006-03-20;0,707
2006-03-21;0,608
2006-03-22;0,502
2006-03-23;0,392
2006-03-24;0,285
2006-03-25;0,186
2006-03-26;0,103
2006-03-27;0,041
2006-03-28;0,006
2006-03-29;0,002
2006-03-30;0,028
2006-03-31;0,079
2006-04-01;0,151
2006-04-02;0,234
2006-04-03;0,328
2006-04-04;0,427
2006-04-05;0,526
2006-04-06;0,621
2006-04-07;0,711
2006-04-08;0,792
2006-04-09;0,862
2006-04-10;0,920
2006-04-11;0,955
2006-04-12;0,989
2006-04-13;0,997
2006-04-14;0,986
2006-04-15;0,955
2006-04-16;0,905
2006-04-17;0,836
2006-04-18;0,751
2006-04-19;0,653
2006-04-20;0,545
2006-04-21;0,433
2006-04-22;0,322
2006-04-23;0,218
2006-04-24;0,129
2006-04-25;0,060
2006-04-26;0,016
2006-04-27;0,002
2006-04-28;0,014
2006-04-29;0,051
2006-04-30;0,110
2006-05-01;0,184
2006-05-02;0,269
2006-05-03;0,361
2006-05-04;0,457
2006-05-05;0,552
2006-05-06;0,645
2006-05-07;0,732
2006-05-08;0,811
2006-05-09;0,879
2006-05-10;0,934
2006-05-11;0,964
2006-05-12;0,993
2006-05-13;0,994
2006-05-14;0,972
2006-05-15;0,928
2006-05-16;0,863
2006-05-17;0,780
2006-05-18;0,682
2006-05-19;0,574
2006-05-20;0,460
2006-05-21;0,348
2006-05-22;0,243
2006-05-23;0,151
2006-05-24;0,079
2006-05-25;0,029
2006-05-26;0,005
2006-05-27;0,006
2006-05-28;0,030
2006-05-29;0,076
2006-05-30;0,137
2006-05-31;0,212
2006-06-01;0,297
2006-06-02;0,388
2006-06-03;0,481
2006-06-04;0,576
2006-06-05;0,667
2006-06-06;0,754
2006-06-07;0,832
2006-06-08;0,899
2006-06-09;0,950
2006-06-10;0,973
2006-06-11;0,995
2006-06-12;0,982
2006-06-13;0,945
2006-06-14;0,885
2006-06-15;0,804
2006-06-16;0,706
2006-06-17;0,597
2006-06-18;0,483
2006-06-19;0,371
2006-06-20;0,266
2006-06-21;0,173
2006-06-22;0,098
2006-06-23;0,044
2006-06-24;0,011
2006-06-25;0,003
2006-06-26;0,015
2006-06-27;0,048
2006-06-28;0,098
2006-06-29;0,161
2006-06-30;0,237
2006-07-01;0,322
2006-07-02;0,413
2006-07-03;0,507
2006-07-04;0,603
2006-07-05;0,696
2006-07-06;0,783
2006-07-07;0,861
2006-07-08;0,925
2006-07-09;0,959
2006-07-10;0,993
2006-07-11;0,990
2006-07-12;0,959
2006-07-13;0,903
2006-07-14;0,824
2006-07-15;0,727
2006-07-16;0,619
2006-07-17;0,507
2006-07-18;0,396
2006-07-19;0,292
2006-07-20;0,200
2006-07-21;0,122
2006-07-22;0,063
2006-07-23;0,023
2006-07-24;0,004
2006-07-25;0,005
2006-07-26;0,025
2006-07-27;0,063
2006-07-28;0,116
2006-07-29;0,183
2006-07-30;0,261
2006-07-31;0,348
2007-03-01;0,666
2007-03-02;0,985
2007-03-03;0,988
2007-03-04;0,992
2007-03-05;0,968
2007-03-06;0,928
2007-03-07;0,873
2007-03-08;0,804
2007-03-09;0,724
2007-03-10;0,634
2007-03-11;0,538
2007-03-12;0,438
2007-03-13;0,336
2007-03-14;0,239
2007-03-15;0,152
2007-03-16;0,078
2007-03-17;0,027
2007-03-18;0,002
2007-03-19;0,008
2007-03-20;0,044
2007-03-21;0,108
2007-03-22;0,192
2007-03-23;0,291
2007-03-24;0,397
2007-03-25;0,505
2007-03-26;0,608
2007-03-27;0,705
2007-03-28;0,791
2007-03-29;0,864
2007-03-30;0,923
2007-03-31;0,965
2007-04-01;0,981
2007-04-02;0,997
2007-04-03;0,988
2007-04-04;0,961
2007-04-05;0,916
2007-04-06;0,857
2007-04-07;0,784
2007-04-08;0,699
2007-04-09;0,604
2007-04-10;0,502
2007-04-11;0,396
2007-04-12;0,292
2007-04-13;0,194
2007-04-14;0,110
2007-04-15;0,046
2007-04-16;0,010
2007-04-17;0,003
2007-04-18;0,028
2007-04-19;0,080
2007-04-20;0,154
2007-04-21;0,244
2007-04-22;0,344
2007-04-23;0,447
2007-04-24;0,549
2007-04-25;0,646
2007-04-26;0,736
2007-04-27;0,815
2007-04-28;0,882
2007-04-29;0,935
2007-04-30;0,964
2007-05-01;0,993
2007-05-02;0,995
2007-05-03;0,980
2007-05-04;0,946
2007-05-05;0,895
2007-05-06;0,828
2007-05-07;0,746
2007-05-08;0,651
2007-05-09;0,548
2007-05-10;0,439
2007-05-11;0,330
2007-05-12;0,227
2007-05-13;0,136
2007-05-14;0,065
2007-05-15;0,018
2007-05-16;0,003
2007-05-17;0,016
2007-05-18;0,057
2007-05-19;0,121
2007-05-20;0,201
2007-05-21;0,292
2007-05-22;0,389
2007-05-23;0,488
2007-05-24;0,585
2007-05-25;0,677
2007-05-26;0,762
2007-05-27;0,837
2007-05-28;0,899
2007-05-29;0,947
2007-05-30;0,971
2007-05-31;0,994
2007-06-01;0,991
2007-06-02;0,967
2007-06-03;0,923
2007-06-04;0,861
2007-06-05;0,782
2007-06-06;0,688
2007-06-07;0,583
2007-06-08;0,472
2007-06-09;0,359
2007-06-10;0,252
2007-06-11;0,158
2007-06-12;0,082
2007-06-13;0,029
2007-06-14;0,005
2007-06-15;0,008
2007-06-16;0,037
2007-06-17;0,089
2007-06-18;0,157
2007-06-19;0,239
2007-06-20;0,330
2007-06-21;0,424
2007-06-22;0,520
