year;site;nest;comment;;;;;;;;;;;
2006;A;1;abandoned nest is smashed on 516 by car;;;;;;;;;;;
2006;A;2;;;;;;;;;;;;
2006;A;3;;;;;;;;;;;;
2006;A;4;all unhatched eggs contained yellow yolk;;;;;;;;;;;
2006;A;5;unhatched egg(s) with yolk only;;;;;;;;;;;
2006;A;6;;;;;;;;;;;;
2006;A;7;;;;;;;;;;;;
2006;A;8;;;;;;;;;;;;
2006;A;101;1 egg/chick disappeared at hatching, after the first two chicks had hatched;;;;;;;;;;;
2006;A;102;;;;;;;;;;;;
2006;A;103;one egg disappeared about 10 days before hatching;;;;;;;;;;;
2006;A;104;?unhatched egg(s) with yolk only;;;;;;;;;;;
2006;A;105;;;;;;;;;;;;
2006;A;106;;;;;;;;;;;;
2006;B;1;"518 male found dead 2 m next to nest, on egg broken; 525 both remaining eggs pecking; 526 one egg hatched but chick found dead in nest, last egg unhatched ";;;;;;;;;;;
2006;B;2;503 one egg disappeared;;;;;;;;;;;
2006;B;3;;;;;;;;;;;;
2006;B;4;;;;;;;;;;;;
2006;B;5;;;;;;;;;;;;
2006;B;6;unhatched egg(s) with yolk only;;;;;;;;;;;
2006;B;7;unhatched egg(s) with yolk only;;;;;;;;;;;
2006;B;8;;;;;;;;;;;;
2006;B;9;;;;;;;;;;;;
2006;B;101;;;;;;;;;;;;
2006;B;102;;;;;;;;;;;;
2006;B;207;1 egg/chick disappeared at hatching, after the first two chicks had hatched;;;;;;;;;;;
2006;B;208;nest with 2 chicks hatched already;;;;;;;;;;;
2006;B;209;nest with 1 chicks hatched already;;;;;;;;;;;
2006;C;1;;;;;;;;;;;;
2006;C;2;;;;;;;;;;;;
2006;C;3;;;;;;;;;;;;
2006;C;4;nest probably abandoned before;;;;;;;;;;;
2006;C;5;unhatched egg(s) with yolk only;;;;;;;;;;;
2006;C;6;1 dead embryo < 15 days old, 2 eggs with yolk only;;;;;;;;;;;
2006;C;7;;;;;;;;;;;;
2006;C;8;526 one egg missing, 609 broke last egg: red yolk inside;;;;;;;;;;;
2006;C;9;unhatched egg(s) with yolk only;;;;;;;;;;;
2006;C;10;;;;;;;;;;;;
2006;C;11;;;;;;;;;;;;
2006;C;12;606 one egg missing, 609 broke last egg with yolk only inside;;;;;;;;;;;
2006;C;13;;;;;;;;;;;;
2006;C;14;;;;;;;;;;;;
2006;C;15;?unhatched egg(s) with yolk only;;;;;;;;;;;
2006;C;16;;;;;;;;;;;;
2006;C;17;;;;;;;;;;;;
2006;C;18;;;;;;;;;;;;
2006;C;19;;;;;;;;;;;;
2006;C;20;?unhatched egg(s) with yolk only;;;;;;;;;;;
2006;C;21;;;;;;;;;;;;
2006;C;22;;;;;;;;;;;;
2006;C;23;;;;;;;;;;;;
2006;C;24;;;;;;;;;;;;
2006;C;25;;;;;;;;;;;;
2006;C;26;;;;;;;;;;;;
2006;C;27;;;;;;;;;;;;
2006;C;28;;;;;;;;;;;;
2006;C;29;;;;;;;;;;;;
2006;C;30;;;;;;;;;;;;
2006;C;31;;;;;;;;;;;;
2006;C;32;;;;;;;;;;;;
2006;C;33;;;;;;;;;;;;
2006;C;34;;;;;;;;;;;;
2006;C;35;;;;;;;;;;;;
2006;C;36;;;;;;;;;;;;
2006;C;37;;;;;;;;;;;;
2006;C;38;;;;;;;;;;;;
2006;C;39;;;;;;;;;;;;
2006;C;101;nest not incubated;;;;;;;;;;;
2006;C;103;;;;;;;;;;;;
2006;C;104;nest probably abandoned before;;;;;;;;;;;
2006;C;105;;;;;;;;;;;;
2006;C;106;;;;;;;;;;;;
2006;C;107;?unhatched egg(s) with yolk only;;;;;;;;;;;
2006;C;108;;;;;;;;;;;;
2006;C;109;;;;;;;;;;;;
2006;C;110;;;;;;;;;;;;
2006;C;111;caught one chick close to nest scrape in a 2nd attempt on 605, broke the two remaining eggs two days later, yolk inside;;;;;;;;;;;
2006;C;112;;;;;;;;;;;;
2006;C;113;dead embryo in unhatched egg;;;;;;;;;;;
2006;C;201;;;;;;;;;;;;
2006;C;205;;;;;;;;;;;;
2006;C;206;;;;;;;;;;;;
2006;C;210;;;;;;;;;;;;
2006;C;211;unhatched egg(s) with yolk only;;;;;;;;;;;
