"","year","nest","laid"
"1",2006,"2006A1",2006-04-30
"2",2006,"2006A2",2006-04-30
"3",2006,"2006A3",2006-05-04
"4",2006,"2006A4",2006-05-06
"5",2006,"2006A5",2006-05-07
"6",2006,"2006A6",2006-05-06
"7",2006,"2006A7",2006-05-07
"8",2006,"2006A8",2006-05-05
"9",2006,"2006A101",2006-05-12
"10",2006,"2006A102",2006-05-10
"11",2006,"2006A103",2006-05-13
"12",2006,"2006A104",2006-05-13
"13",2006,"2006A105",2006-05-03
"14",2006,"2006A106",2006-05-13
"15",2006,"2006B1",2006-05-01
"16",2006,"2006B2",2006-05-01
"17",2006,"2006B3",2006-04-28
"18",2006,"2006B4",2006-05-07
"19",2006,"2006B5",2006-05-07
"20",2006,"2006B6",2006-05-13
"21",2006,"2006B7",2006-05-15
"22",2006,"2006B8",2006-05-16
"23",2006,"2006B9",2006-05-22
"24",2006,"2006B101",2006-05-04
"25",2006,"2006B102",2006-05-12
"26",2006,"2006B207",2006-05-27
"27",2006,"2006B208",2006-05-13
"28",2006,"2006B209",2006-05-13
"29",2006,"2006C1",2006-04-23
"30",2006,"2006C2",2006-05-06
"31",2006,"2006C3",2006-05-02
"32",2006,"2006C4",2006-05-03
"33",2006,"2006C5",2006-05-02
"34",2006,"2006C6",2006-05-07
"35",2006,"2006C7",2006-05-10
"36",2006,"2006C8",2006-05-13
"37",2006,"2006C9",2006-05-12
"38",2006,"2006C10",2006-05-13
"39",2006,"2006C11",2006-05-14
"40",2006,"2006C12",2006-05-14
"41",2006,"2006C13",2006-05-20
"42",2006,"2006C14",2006-05-18
"43",2006,"2006C15",2006-05-18
"44",2006,"2006C16",2006-05-22
"45",2006,"2006C17",2006-06-01
"46",2006,"2006C18",2006-06-08
"47",2006,"2006C19",2006-06-10
"48",2006,"2006C20",2006-06-09
"49",2006,"2006C21",2006-06-14
"50",2006,"2006C22",2006-06-16
"51",2006,"2006C23",2006-06-20
"52",2006,"2006C24",2006-06-21
"53",2006,"2006C25",2006-06-22
"54",2006,"2006C26",2006-06-22
"55",2006,"2006C27",2006-06-18
"56",2006,"2006C28",2006-06-23
"57",2006,"2006C29",2006-06-23
"58",2006,"2006C30",2006-06-15
"59",2006,"2006C31",2006-06-13
"60",2006,"2006C32",2006-06-22
"61",2006,"2006C33",2006-06-21
"62",2006,"2006C34",2006-06-28
"63",2006,"2006C35",2006-06-28
"64",2006,"2006C36",2006-07-04
"65",2006,"2006C37",2006-07-04
"66",2006,"2006C38",2006-06-28
"67",2006,"2006C39",2006-07-04
"68",2006,"2006C101",2006-05-03
"69",2006,"2006C103",2006-05-01
"70",2006,"2006C104",2006-04-29
"71",2006,"2006C105",2006-05-05
"72",2006,"2006C106",2006-05-12
"73",2006,"2006C107",2006-05-06
"74",2006,"2006C108",2006-05-20
"75",2006,"2006C109",2006-05-20
"76",2006,"2006C110",2006-05-16
"77",2006,"2006C111",2006-05-19
"78",2006,"2006C112",2006-05-22
"79",2006,"2006C113",2006-06-06
"80",2006,"2006C201",2006-06-06
"81",2006,"2006C205",2006-06-05
"82",2006,"2006C206",2006-05-27
"83",2006,"2006C210",2006-05-28
"84",2006,"2006C211",2006-06-02
"85",2006,"2006C212",2006-06-07
"86",2006,"2006C213",2006-05-28
"87",2006,"2006C214",2006-06-02
"88",2006,"2006D1",2006-04-25
"89",2006,"2006D2",2006-05-02
"90",2006,"2006D3",2006-05-10
"91",2006,"2006D4",2006-05-13
"92",2006,"2006D5",2006-05-16
"93",2006,"2006D6",2006-05-06
"94",2006,"2006D7",2006-05-21
"95",2006,"2006D8",2006-05-15
"96",2006,"2006D9",2006-05-18
"97",2006,"2006D10",2006-05-23
"98",2006,"2006D11",2006-05-21
"99",2006,"2006D12",2006-05-21
"100",2006,"2006D13",2006-05-30
"101",2006,"2006D14",2006-05-26
"102",2006,"2006D15",2006-05-21
"103",2006,"2006D16",2006-06-03
"104",2006,"2006D17",2006-06-02
"105",2006,"2006D18",2006-06-12
"106",2006,"2006D19",2006-06-07
"107",2006,"2006D20",2006-06-01
"108",2006,"2006D21",2006-06-02
"109",2006,"2006D22",2006-06-08
"110",2006,"2006D23",2006-06-05
"111",2006,"2006D24",2006-06-12
"112",2006,"2006D25",2006-06-14
"113",2006,"2006D26",2006-06-16
"114",2006,"2006D27",2006-06-16
"115",2006,"2006D28",2006-06-08
"116",2006,"2006D29",2006-06-05
"117",2006,"2006D30",2006-06-15
"118",2006,"2006D31",2006-06-05
"119",2006,"2006D32",2006-06-15
"120",2006,"2006D33",2006-06-06
"121",2006,"2006D34",2006-06-05
"122",2006,"2006D35",2006-06-12
"123",2006,"2006D36",2006-06-06
"124",2006,"2006D37",2006-06-17
"125",2006,"2006D38",2006-06-11
"126",2006,"2006D39",2006-06-16
"127",2006,"2006D40",2006-06-13
"128",2006,"2006D41",2006-06-28
"129",2006,"2006D42",2006-06-26
"130",2006,"2006D43",2006-06-09
"131",2006,"2006D44",2006-06-25
"132",2006,"2006D45",2006-07-04
"133",2006,"2006D46",2006-06-28
"134",2006,"2006D47",2006-07-05
"135",2006,"2006D101",2006-05-04
"136",2006,"2006D102",2006-05-07
"137",2006,"2006D103",2006-05-07
"138",2006,"2006D104",2006-05-14
"139",2006,"2006D105",2006-05-14
"140",2006,"2006D106",2006-05-14
"141",2006,"2006D107",2006-05-20
"142",2006,"2006D108",2006-05-20
"143",2006,"2006D109",2006-05-20
"144",2006,"2006D110",2006-05-20
"145",2006,"2006D111",2006-05-21
"146",2006,"2006D112",2006-05-21
"147",2006,"2006D113",2006-05-16
"148",2006,"2006D114",2006-05-22
"149",2006,"2006D115",2006-05-19
"150",2006,"2006D116",2006-05-24
"151",2006,"2006D117",2006-05-19
"152",2006,"2006D118",2006-05-24
"153",2006,"2006D119",2006-05-26
"154",2006,"2006D120",2006-06-04
"155",2006,"2006D122",2006-05-28
"156",2006,"2006D202",2006-06-06
"157",2006,"2006D203",2006-06-05
"158",2006,"2006D204",2006-06-05
"159",2006,"2006E1",2006-05-11
"160",2006,"2006E2",2006-06-02
"161",2006,"2006F1",2006-06-10
"162",2007,"2007A1",2007-04-28
"163",2007,"2007A2",2007-04-27
"164",2007,"2007A3",2007-04-29
"165",2007,"2007A4",2007-05-05
"166",2007,"2007A5",2007-05-05
"167",2007,"2007A6",2007-05-04
"168",2007,"2007A7",2007-05-15
"169",2007,"2007A8",2007-05-15
"170",2007,"2007A9",2007-05-15
"171",2007,"2007A101",2007-04-28
