year;nest_ID;found;laid;end;fate;lat;long;male_ID;female_ID
2006;2006A1;2006-05-02;2006-04-27;2006-05-12;ABAN;-106.9579676;23.90834796;802109713;CA226
2006;2006A2;2006-05-05;2006-04-27;2006-06-01;UNHATCH;-106.9530159;23.90430282;2m;CA2082
2006;2006A3;2006-05-05;2006-05-06;2006-05-19;PRED;-106.9533507;23.90567095;CA143;802122911
2006;2006A4;2006-05-07;2006-05-04;2006-06-07;UNHATCH;-106.9583207;23.91418511;CA110;CA101
2006;2006A5;2006-05-08;2006-05-04;2006-05-29;HATCH;-106.9580129;23.9107039;CA328;802122914
2006;2006A6;2006-05-08;2006-05-05;2006-05-09;PRED;-106.9568361;23.91016813;6m;6fm
2006;2006A7;2006-05-08;2006-05-06;2006-05-31;HATCH;-106.9560643;23.90913061;CA1545;802122913
2006;2006A8;2006-05-16;2006-05-05;2006-05-21;PRED;-106.9562508;23.9065189;8m;8fm
2006;2006A101;2006-05-12;2006-05-12;2006-06-06;HATCH;-106.9516529;23.90116906;CA050;CA103
2006;2006A102;2006-05-12;2006-05-07;2006-05-19;PRED;-106.9508955;23.90239757;102m;802122930
2006;2006A103;2006-05-13;2006-05-11;2006-06-05;HATCH;-106.9525485;23.90522067;CA052;CA102
2006;2006A104;2006-05-13;2006-05-16;2006-06-10;HATCH;-106.9531685;23.90465301;CA051;802109760
2006;2006A105;2006-05-13;2006-05-03;2006-05-23;PRED;-106.9502135;23.90144916;105m;CA2037
2006;2006A106;2006-05-13;2006-05-10;2006-05-23;PRED;NA;NA;106m;106fm
2006;2006B1;2006-05-02;2006-05-01;2006-05-26;HATCH;-106.963731;23.91214779;802109744;CA241
2006;2006B2;2006-05-02;2006-05-04;2006-05-29;HATCH;-106.9637869;23.91194845;802122903;CA245
2006;2006B3;2006-05-03;2006-04-25;2006-05-13;ABAN;-106.9638637;23.91378031;CA203;CA039
2006;2006B4;2006-05-07;2006-05-08;2006-06-02;HATCH;-106.9626642;23.9117461;802122925;802122928
2006;2006B5;2006-05-08;2006-05-11;2006-06-05;HATCH;-106.9625633;23.91286696;CA057;802109721
